Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,45.150002,45.500000,45.080002,45.459999,45.459999,312300
2019-06-28,45.639999,45.820000,45.570000,45.770000,45.770000,302400
2019-07-01,46.500000,46.650002,46.169998,46.290001,46.290001,588100
2019-07-02,46.270000,46.360001,46.119999,46.230000,46.230000,111300
2019-07-03,46.799999,47.119999,46.709999,47.119999,47.119999,324900
2019-07-05,46.520000,47.000000,46.450001,46.770000,46.770000,287400
2019-07-08,46.750000,47.060001,46.560001,46.639999,46.639999,112400
2019-07-09,46.169998,46.450001,46.169998,46.410000,46.410000,107000
2019-07-10,47.040001,48.400002,47.020000,48.000000,48.000000,938100
2019-07-11,48.299999,48.680000,47.500000,48.310001,48.310001,644500
2019-07-12,48.320000,48.380001,48.160000,48.230000,48.230000,324300
2019-07-15,48.259998,48.410000,48.060001,48.110001,48.110001,194000
2019-07-16,48.000000,48.110001,47.520000,47.650002,47.650002,490300
2019-07-17,47.770000,47.770000,47.459999,47.459999,47.459999,212300
2019-07-18,47.259998,47.980000,47.259998,47.980000,47.980000,209100
2019-07-19,47.840000,47.840000,47.509998,47.540001,47.540001,131700
2019-07-22,46.840000,47.009998,46.619999,46.700001,46.700001,426500
2019-07-23,46.250000,46.320000,46.049999,46.220001,46.220001,263200
2019-07-24,46.200001,46.240002,45.889999,46.099998,46.099998,206000
2019-07-25,46.169998,46.599998,45.740002,45.820000,45.820000,424100
2019-07-26,46.639999,46.639999,46.060001,46.220001,46.220001,244700
2019-07-29,46.529999,46.529999,46.110001,46.529999,46.529999,229200
2019-07-30,44.980000,46.150002,44.869999,45.799999,45.799999,1054300
2019-07-31,46.349998,46.849998,46.150002,46.189999,46.189999,603200
2019-08-01,47.380001,48.430000,47.299999,47.360001,47.360001,548700
2019-08-02,47.099998,47.290001,46.259998,46.529999,46.529999,246800
2019-08-05,45.770000,46.169998,45.119999,45.200001,45.200001,480500
2019-08-06,45.560001,45.900002,45.410000,45.889999,45.889999,209100
2019-08-07,46.180000,46.560001,45.570000,46.549999,46.549999,205500
2019-08-08,46.380001,47.080002,46.250000,47.040001,47.040001,347000
2019-08-09,46.750000,46.799999,46.279999,46.400002,46.400002,186600
2019-08-12,46.680000,46.680000,45.889999,46.020000,46.020000,152600
2019-08-13,45.150002,46.200001,45.150002,46.060001,46.060001,544200
2019-08-14,46.299999,46.590000,46.000000,46.080002,46.080002,365200
2019-08-15,46.830002,47.000000,46.520000,46.700001,46.700001,281100
2019-08-16,46.630001,47.090000,46.500000,47.049999,47.049999,157500
2019-08-19,46.919998,47.349998,46.919998,47.150002,47.150002,195600
2019-08-20,46.830002,47.000000,46.650002,46.730000,46.730000,112800
2019-08-21,47.180000,47.619999,47.180000,47.490002,47.490002,352400
2019-08-22,47.430000,47.430000,46.730000,46.950001,46.950001,115800
2019-08-23,47.840000,47.930000,47.049999,47.099998,47.099998,277200
2019-08-26,47.200001,47.500000,47.169998,47.459999,47.459999,101000
2019-08-27,47.480000,47.810001,47.470001,47.750000,47.750000,218500
2019-08-28,47.610001,47.770000,47.360001,47.630001,47.630001,127800
2019-08-29,47.419998,47.779999,47.419998,47.709999,47.709999,84700
2019-08-30,47.150002,47.520000,47.110001,47.250000,47.250000,71900
2019-09-03,47.830002,47.830002,47.500000,47.810001,47.810001,176100
2019-09-04,48.770000,48.799999,48.200001,48.529999,48.529999,496200
2019-09-05,48.200001,48.209999,48.000000,48.099998,48.099998,294400
2019-09-06,48.520000,48.520000,48.290001,48.410000,48.410000,87800
2019-09-09,49.080002,49.209999,48.849998,49.070000,49.070000,448200
2019-09-10,48.880001,48.880001,48.230000,48.520000,48.520000,63075
